Model,Folder,Instance,Seed,Run_Number,Objective_Cost,Time_s,Feasible
base,MPRP_c++_25_2_2,25RC102,42,1,443.37,2.2,True
base,MPRP_c++_25_2_2,25RC102,43,2,443.37,2.18,True
base,MPRP_c++_25_2_2,25RC102,44,3,443.37,2.12,True
base,MPRP_c++_25_2_2,25RC102,45,4,443.37,2.07,True
base,MPRP_c++_25_2_2,25RC102,46,5,443.37,2.07,True
base,MPRP_c++_25_2_2,25RC102,47,6,443.37,2.13,True
base,MPRP_c++_25_2_2,25RC102,48,7,443.37,2.13,True
base,MPRP_c++_25_2_2,25RC102,49,8,443.37,2.08,True
base,MPRP_c++_25_2_2,25RC102,50,9,443.37,2.07,True
base,MPRP_c++_25_2_2,25RC102,51,10,443.37,2.11,True
base,MPRP_c++_25_2_2,25RC104,42,1,373.18,2.1,True
base,MPRP_c++_25_2_2,25RC104,43,2,N/A,2.19,False
base,MPRP_c++_25_2_2,25RC104,44,3,372.18,2.06,True
base,MPRP_c++_25_2_2,25RC104,45,4,372.41,2.12,True
base,MPRP_c++_25_2_2,25RC104,46,5,371.66,2.1,True
base,MPRP_c++_25_2_2,25RC104,47,6,N/A,2.06,False
base,MPRP_c++_25_2_2,25RC104,48,7,N/A,2.13,False
base,MPRP_c++_25_2_2,25RC104,49,8,N/A,2.1,False
base,MPRP_c++_25_2_2,25RC104,50,9,N/A,2.1,False
base,MPRP_c++_25_2_2,25RC104,51,10,374.38,2.08,True
base,MPRP_c++_25_2_2,25RC107,42,1,390.89,2.09,True
base,MPRP_c++_25_2_2,25RC107,43,2,390.89,2.06,True
base,MPRP_c++_25_2_2,25RC107,44,3,390.89,2.09,True
base,MPRP_c++_25_2_2,25RC107,45,4,390.89,2.03,True
base,MPRP_c++_25_2_2,25RC107,46,5,390.89,2.13,True
base,MPRP_c++_25_2_2,25RC107,47,6,390.89,2.07,True
base,MPRP_c++_25_2_2,25RC107,48,7,390.89,2.06,True
base,MPRP_c++_25_2_2,25RC107,49,8,390.89,2.11,True
base,MPRP_c++_25_2_2,25RC107,50,9,390.89,2.06,True
base,MPRP_c++_25_2_2,25RC107,51,10,390.89,2.09,True
base,MPRP_c++_25_2_2,25RC206,42,1,462.38,3.41,True
base,MPRP_c++_25_2_2,25RC206,43,2,461.32,3.35,True
base,MPRP_c++_25_2_2,25RC206,44,3,462.73,3.26,True
base,MPRP_c++_25_2_2,25RC206,45,4,463.8,3.34,True
base,MPRP_c++_25_2_2,25RC206,46,5,465.37,3.26,True
base,MPRP_c++_25_2_2,25RC206,47,6,462.73,3.22,True
base,MPRP_c++_25_2_2,25RC206,48,7,462.73,3.29,True
base,MPRP_c++_25_2_2,25RC206,49,8,462.73,3.26,True
base,MPRP_c++_25_2_2,25RC206,50,9,461.32,3.27,True
base,MPRP_c++_25_2_2,25RC206,51,10,462.73,3.37,True
base,MPRP_c++_50_3_3,50RC101,42,1,1113.57,18.63,True
base,MPRP_c++_50_3_3,50RC101,43,2,1118.43,19.02,True
base,MPRP_c++_50_3_3,50RC101,44,3,1116.22,19.42,True
base,MPRP_c++_50_3_3,50RC101,45,4,1112.41,23.8,True
base,MPRP_c++_50_3_3,50RC101,46,5,1128.85,58.59,True
base,MPRP_c++_50_3_3,50RC101,47,6,1125.91,52.16,True
base,MPRP_c++_50_3_3,50RC101,48,7,1127.93,42.82,True
base,MPRP_c++_50_3_3,50RC101,49,8,1116.61,47.2,True
base,MPRP_c++_50_3_3,50RC101,50,9,1112.02,53.26,True
base,MPRP_c++_50_3_3,50RC101,51,10,1112.02,27.08,True
base,MPRP_c++_50_3_3,50RC106,42,1,944.13,19.52,True
base,MPRP_c++_50_3_3,50RC106,43,2,942.16,20.58,True
base,MPRP_c++_50_3_3,50RC106,44,3,938.97,20.47,True
base,MPRP_c++_50_3_3,50RC106,45,4,945.79,20.23,True
base,MPRP_c++_50_3_3,50RC106,46,5,939.89,19.99,True
base,MPRP_c++_50_3_3,50RC106,47,6,956.28,19.24,True
base,MPRP_c++_50_3_3,50RC106,48,7,951.58,18.82,True
base,MPRP_c++_50_3_3,50RC106,49,8,937.81,20.19,True
base,MPRP_c++_50_3_3,50RC106,50,9,942.16,20.16,True
base,MPRP_c++_50_3_3,50RC106,51,10,946.92,20.19,True
base,MPRP_c++_50_3_3,50RC201,42,1,1038.48,57.51,True
base,MPRP_c++_50_3_3,50RC201,43,2,1032.27,68.23,True
base,MPRP_c++_50_3_3,50RC201,44,3,1028.69,33.96,True
base,MPRP_c++_50_3_3,50RC201,45,4,1030.5,36.73,True
base,MPRP_c++_50_3_3,50RC201,46,5,1028.69,35.34,True
base,MPRP_c++_50_3_3,50RC201,47,6,1133.35,35.37,True
base,MPRP_c++_50_3_3,50RC201,48,7,1133.35,34.63,True
base,MPRP_c++_50_3_3,50RC201,49,8,1028.69,69.19,True
base,MPRP_c++_50_3_3,50RC201,50,9,1028.69,106.02,True
base,MPRP_c++_50_3_3,50RC201,51,10,1028.69,92.61,True
base,MPRP_c++_50_3_3,50RC202,42,1,889.37,75.93,True
base,MPRP_c++_50_3_3,50RC202,43,2,905.66,61.0,True
base,MPRP_c++_50_3_3,50RC202,44,3,889.84,37.59,True
base,MPRP_c++_50_3_3,50RC202,45,4,879.28,81.74,True
base,MPRP_c++_50_3_3,50RC202,46,5,885.04,97.83,True
base,MPRP_c++_50_3_3,50RC202,47,6,908.04,97.62,True
base,MPRP_c++_50_3_3,50RC202,48,7,889.4,109.31,True
base,MPRP_c++_50_3_3,50RC202,49,8,887.36,105.26,True
base,MPRP_c++_50_3_3,50RC202,50,9,896.34,59.01,True
base,MPRP_c++_50_3_3,50RC202,51,10,886.66,35.42,True
base,MPRP_c++_100_1_1,100RC105,42,1,1490.79,72.0,True
base,MPRP_c++_100_1_1,100RC105,43,2,1500.78,72.43,True
base,MPRP_c++_100_1_1,100RC105,44,3,1496.74,75.24,True
base,MPRP_c++_100_1_1,100RC105,45,4,1485.11,73.2,True
base,MPRP_c++_100_1_1,100RC105,46,5,1481.93,69.55,True
base,MPRP_c++_100_1_1,100RC105,47,6,1482.11,69.89,True
base,MPRP_c++_100_1_1,100RC105,48,7,N/A,74.01,False
base,MPRP_c++_100_1_1,100RC105,49,8,1499.82,70.68,True
base,MPRP_c++_100_1_1,100RC105,50,9,1480.6,71.37,True
base,MPRP_c++_100_1_1,100RC105,51,10,N/A,70.73,False
base,MPRP_c++_100_1_1,100RC206,42,1,1180.45,128.18,True
base,MPRP_c++_100_1_1,100RC206,43,2,1161.31,127.23,True
base,MPRP_c++_100_1_1,100RC206,44,3,1158.34,126.56,True
base,MPRP_c++_100_1_1,100RC206,45,4,1168.35,165.64,True
base,MPRP_c++_100_1_1,100RC206,46,5,1192.97,130.44,True
base,MPRP_c++_100_1_1,100RC206,47,6,1160.27,140.99,True
base,MPRP_c++_100_1_1,100RC206,48,7,1158.98,263.52,True
base,MPRP_c++_100_1_1,100RC206,49,8,1158.61,360.82,True
base,MPRP_c++_100_1_1,100RC206,50,9,1213.35,376.79,True
base,MPRP_c++_100_1_1,100RC206,51,10,1203.92,383.59,True
