Model,Folder,Instance,Seed,Run_Number,Objective_Cost,Time_s,Feasible
qlearning,MPRP_c++_25_2_2,25RC102,42,1,443.37,2.29,True
qlearning,MPRP_c++_25_2_2,25RC102,43,2,443.37,2.1,True
qlearning,MPRP_c++_25_2_2,25RC102,44,3,443.37,2.13,True
qlearning,MPRP_c++_25_2_2,25RC102,45,4,443.37,2.17,True
qlearning,MPRP_c++_25_2_2,25RC102,46,5,443.37,2.12,True
qlearning,MPRP_c++_25_2_2,25RC102,47,6,443.37,2.19,True
qlearning,MPRP_c++_25_2_2,25RC102,48,7,443.37,2.09,True
qlearning,MPRP_c++_25_2_2,25RC102,49,8,443.49,2.07,True
qlearning,MPRP_c++_25_2_2,25RC102,50,9,443.37,2.07,True
qlearning,MPRP_c++_25_2_2,25RC102,51,10,443.37,2.12,True
qlearning,MPRP_c++_25_2_2,25RC104,42,1,372.18,2.23,True
qlearning,MPRP_c++_25_2_2,25RC104,43,2,371.66,2.11,True
qlearning,MPRP_c++_25_2_2,25RC104,44,3,372.41,2.34,True
qlearning,MPRP_c++_25_2_2,25RC104,45,4,372.41,2.27,True
qlearning,MPRP_c++_25_2_2,25RC104,46,5,374.96,2.13,True
qlearning,MPRP_c++_25_2_2,25RC104,47,6,371.66,2.45,True
qlearning,MPRP_c++_25_2_2,25RC104,48,7,371.66,2.01,True
qlearning,MPRP_c++_25_2_2,25RC104,49,8,372.41,2.15,True
qlearning,MPRP_c++_25_2_2,25RC104,50,9,372.41,2.14,True
qlearning,MPRP_c++_25_2_2,25RC104,51,10,371.66,2.11,True
qlearning,MPRP_c++_25_2_2,25RC107,42,1,390.89,2.0,True
qlearning,MPRP_c++_25_2_2,25RC107,43,2,390.89,2.09,True
qlearning,MPRP_c++_25_2_2,25RC107,44,3,390.89,2.08,True
qlearning,MPRP_c++_25_2_2,25RC107,45,4,390.89,2.03,True
qlearning,MPRP_c++_25_2_2,25RC107,46,5,390.89,2.0,True
qlearning,MPRP_c++_25_2_2,25RC107,47,6,390.89,2.08,True
qlearning,MPRP_c++_25_2_2,25RC107,48,7,390.89,2.09,True
qlearning,MPRP_c++_25_2_2,25RC107,49,8,390.89,2.04,True
qlearning,MPRP_c++_25_2_2,25RC107,50,9,390.89,2.11,True
qlearning,MPRP_c++_25_2_2,25RC107,51,10,390.89,2.09,True
qlearning,MPRP_c++_25_2_2,25RC206,42,1,461.32,3.39,True
qlearning,MPRP_c++_25_2_2,25RC206,43,2,461.37,3.5,True
qlearning,MPRP_c++_25_2_2,25RC206,44,3,461.32,3.5,True
qlearning,MPRP_c++_25_2_2,25RC206,45,4,462.73,3.29,True
qlearning,MPRP_c++_25_2_2,25RC206,46,5,461.32,3.38,True
qlearning,MPRP_c++_25_2_2,25RC206,47,6,461.32,3.53,True
qlearning,MPRP_c++_25_2_2,25RC206,48,7,461.37,3.43,True
qlearning,MPRP_c++_25_2_2,25RC206,49,8,466.57,3.6,True
qlearning,MPRP_c++_25_2_2,25RC206,50,9,462.73,3.53,True
qlearning,MPRP_c++_25_2_2,25RC206,51,10,462.22,3.55,True
qlearning,MPRP_c++_50_3_3,50RC101,42,1,1118.69,20.39,True
qlearning,MPRP_c++_50_3_3,50RC101,43,2,1134.81,19.5,True
qlearning,MPRP_c++_50_3_3,50RC101,44,3,1121.59,19.29,True
qlearning,MPRP_c++_50_3_3,50RC101,45,4,1132.81,19.74,True
qlearning,MPRP_c++_50_3_3,50RC101,46,5,1118.88,18.72,True
qlearning,MPRP_c++_50_3_3,50RC101,47,6,1123.78,19.4,True
qlearning,MPRP_c++_50_3_3,50RC101,48,7,1120.38,19.19,True
qlearning,MPRP_c++_50_3_3,50RC101,49,8,1116.61,20.04,True
qlearning,MPRP_c++_50_3_3,50RC101,50,9,1112.02,20.94,True
qlearning,MPRP_c++_50_3_3,50RC101,51,10,1117.58,20.22,True
qlearning,MPRP_c++_50_3_3,50RC106,42,1,945.73,21.46,True
qlearning,MPRP_c++_50_3_3,50RC106,43,2,947.19,20.55,True
qlearning,MPRP_c++_50_3_3,50RC106,44,3,953.92,20.17,True
qlearning,MPRP_c++_50_3_3,50RC106,45,4,955.07,20.18,True
qlearning,MPRP_c++_50_3_3,50RC106,46,5,962.65,19.81,True
qlearning,MPRP_c++_50_3_3,50RC106,47,6,942.81,20.07,True
qlearning,MPRP_c++_50_3_3,50RC106,48,7,958.94,19.78,True
qlearning,MPRP_c++_50_3_3,50RC106,49,8,949.92,20.67,True
qlearning,MPRP_c++_50_3_3,50RC106,50,9,942.82,20.51,True
qlearning,MPRP_c++_50_3_3,50RC106,51,10,949.78,19.75,True
qlearning,MPRP_c++_50_3_3,50RC201,42,1,1030.08,36.65,True
qlearning,MPRP_c++_50_3_3,50RC201,43,2,1053.82,35.18,True
qlearning,MPRP_c++_50_3_3,50RC201,44,3,1050.15,38.1,True
qlearning,MPRP_c++_50_3_3,50RC201,45,4,1133.35,36.78,True
qlearning,MPRP_c++_50_3_3,50RC201,46,5,1028.69,37.08,True
qlearning,MPRP_c++_50_3_3,50RC201,47,6,1028.69,35.78,True
qlearning,MPRP_c++_50_3_3,50RC201,48,7,1050.15,36.89,True
qlearning,MPRP_c++_50_3_3,50RC201,49,8,1050.15,35.67,True
qlearning,MPRP_c++_50_3_3,50RC201,50,9,1028.69,36.75,True
qlearning,MPRP_c++_50_3_3,50RC201,51,10,1036.16,34.07,True
qlearning,MPRP_c++_50_3_3,50RC202,42,1,893.89,36.22,True
qlearning,MPRP_c++_50_3_3,50RC202,43,2,895.0,37.03,True
qlearning,MPRP_c++_50_3_3,50RC202,44,3,887.71,36.8,True
qlearning,MPRP_c++_50_3_3,50RC202,45,4,885.29,35.58,True
qlearning,MPRP_c++_50_3_3,50RC202,46,5,885.35,35.96,True
qlearning,MPRP_c++_50_3_3,50RC202,47,6,887.35,37.76,True
qlearning,MPRP_c++_50_3_3,50RC202,48,7,895.0,37.38,True
qlearning,MPRP_c++_50_3_3,50RC202,49,8,889.32,36.86,True
qlearning,MPRP_c++_50_3_3,50RC202,50,9,888.27,38.06,True
